31,27	240
134,83,96	360
110,34	300
9,162,120	240
144	180
133,133	180
47,81,35	300
158,52,82	180
152,101	240
159	180
111,151	180
107,108	180
19,78,151,156	300
101,69	240
39	180
11	180
111,138,49,93	360
92,90	240
108	180
50,43,132,128	420
98,57,69	300
68,92,84,103	480
157,46	180
154	180
39,157,8,161	300
61,79,101	420
134,112,97	240
141	180
56,125,20	360
45,43,79	300
101,103,116	360
31,51	180
145,121	180
136,121,31	360
79,99	180
60,138,154,53	240
159,23,75	180
108,73	300
47,106,68	360
34,118,90,158	420
156,39,4,96	420
136,102	180
95,147	180
145,64,104,20	360
158	180
102	180
41,1,12	300
93	180
1,73,3,91	360
54	180
59	180
36,87,11,101	240
86,113	300
33,3,65	300
62,54	180
13,35	180
13,141,84	360
115,121,12	360
106	180
117,112,162,141	480
80,131,118,157	300
156,57,138	300
4,39	180
153,148	180
24,12,99,94	600
48,37	180
32,135,122,29	480
63,41,58,51	420
10,87	300
111	180
101	180
155	180
13	180
111,144,79	360
154,111,15	360
69,72	240
125	180
132	180
78,35,76	360
8,8	180
127,109	240
23	180
77,106,151	480
82,102	240
6,66,6	300
75,93	300
18,14,8	240
60,121,52	300
87,130,13,120	600
27,161,72	300
96,83,94,157	300
37,68,112,56	480
40,88,100,114	420
37,156,159,148	240
2,29	180
29,26,30	360
6,108,12	240
10,31,35	180
69,34,159,142	300
155,93,48,134	300
51,25	180
119	180
30,72	180
7,25,109,162	240
128,39,70	240
137,66	300
118,77,27,88	360
84,64	240
132,19,113,90	360
75,46,93,93	420
8,140,29,74	360
35,148,108,16	360
50,49,85	300
162,147	180
27,142,130	240
24,129,132,99	480
18,55	300
123,58	300
55,12,97,96	240
116	180
156,118	240
139,23,97	300
79	180
89,107,80,112	360
58,5,70	360
50	180
82	180
70,69,113,5	360
35	180
122,133,120	240
131,111	300
75	180
78,93	300
73,28	240
97	180
89	180
68,114,80,116	360
103,129,120	240
83,112,20,104	360
96,107,9,30	420
120,161,140	180
84,12,78	240
150,50,154	240
87,2,96	240
